id,name,RechtsformM,RechtsformD,SitzD,SitzMStadt,SitzMLand,Gruendungsjahr,Typ
Sicherheit fuer Frauen und Maedchen,Sicherheit fuer Frauen und Maedchen,99,99,NA,Kericho,Kenia,5,3
SIS,Sport in der Schule,99,99,NA,NA,NA,5,7
Snack Food Association,Snack Food Association,99,99,NA,NA,USA,3,6
Soil Health Institute,Soil Health Institute,99,99,NA,NA,USA,5,6
SOS Kinderdorf,SOS Kinderdorf,99,99,München,NA,NA,4,5
Special Olympics Georgia,Special Olympics Georgia,99,99,NA,Norcross,USA,99,7
Special Smiles Deutschland,Special Smiles Deutschland,99,99,Berlin,NA,NA,5,5
Spelman College,Spelman College,99,99,NA,Atlanta,USA,99,7
Stadtparkverein Hamburg,Stadtparkverein Hamburg,99,99,NA,Hamburg,Deutschland,5,5
Stiftung Mittagskinder,Stiftung Mittagskinder,99,99,NA,Hamburg,Deutschland,5,5
Sustainable Living Plan,Sustainable Living Plan,99,99,NA,NA,Niederlande,5,7
Suvidha Center,Suvidha Hygiene Center,99,99,NA,Punjab,Indien,5,7
Symrise,Symrise,1,99,Holzminden,NA,Deutschland,5,7
Tank,Tank,99,99,NA,Paris,Frankreich,5,7
TCV,The Conversation Volunteers,99,99,NA,NA,Großbritannien,4,4
Team Rubicon,Team Rubicon,99,99,NA,Los Angeles,USA,5,3
TGVL,TGVL,99,99,NA,Golden Valley,USA,5,4
The Coca Cola Foundation,The Coca Cola Foundation,99,99,NA,NA,NA,4,7
The Consumer Goods Forum,The Consumer Goods Forum,99,99,NA,Paris,Frankreich,5,6
The Executive Leadership Council,The Executive Leadership Council,99,99,NA,Washington DC,USA,99,6
The Global FoodBanking Network,The Global FoodBanking Network,99,99,NA,Chicago,USA,5,3
The Global Deal,The Global Deal,99,99,NA,Paris,Frankreich,5,3
The Green Fund,The Green Fund,99,99,NA,Amsterdam,Niederlande,99,4
The Inter American Development Bank,The Inter American Development Bank,1,99,NA,Washington DC,USA,4,7
The last mile,The last mile,99,99,NA,NA,NA,5,7
The Nature Conservancy,The Nature Conservancy,99,99,NA,Arlington,USA,5,4
The Recycling Partnership,The Recycling Partnership,99,99,NA,Falls Church,USA,99,4
The Sheltering Arms,The Sheltering Arms,99,99,NA,Atlanta,USA,1,6
Trust for Public Land,Trust for Public Land,99,99,NA,San Francisco,USA,4,6
UN Global Compact,UN Global Compact,99,99,NA,NA,USA,5,7
UN Sustainable Development Goals,UN Sustainable Development Goals,99,99,NA,New York,USA,3,6
UNICEF,UNICEF,99,99,Köln,New York,USA,4,5
Unified Laufgruppen,Unified Laufgruppen,99,99,NA,NA,NA,5,7
Unilever,Unilever,1,2,Hamburg ,Rotterdam,Niederlande,2,1
United Way of Greater Atlanta,United Way of Greater Atlanta,99,99,NA,Atlanta,USA,99,7
US Military MRE,US Military MRE,99,99,NA,NA,USA,99,7
USCIB,USCIB,99,99,NA,New York,USA,3,7
Vaseline Healing Project,Vaseline Healing Project,99,99,NA,NA,NA,5,7
Verbraucher Initiative,Verbraucher Initiative,99,99,NA,Berlin,Deutschland,4,6
Viersener Tafel,Viersener Tafel,99,99,Viersen,NA,NA,5,5
Vietnamesisches Ministerium,Vietnamesisches Ministerium,99,99,NA,Hanoi,Vietnam,99,2
Vision Zero,Vision Zero,99,99,NA,Rotterdam,Niederlande,5,7
WaterAid,WaterAid,99,99,NA,London,Großbritannien,4,4
WBCSD,WBCSD,99,99,NA,Genf ,Schweiz,5,6
Westside Future Fund,Westside Future Fund,99,99,NA,Atlanta,USA,5,6
Whole Grains Council,Whole Grains Council,99,99,NA,Boston,USA,5,6
Wiener Tafel,Wiener Tafel,99,99,NA,NA,NA,5,5
Woodward Academy,Woodward Academy,99,99,NA,Atlanta,USA,99,7
World Association of Girls Guides and Girls Scouts,Girls Guides and Girls Scouts,99,99,NA,London,England,2,6
World Class Manufacturing Programme,World Class Manufacturing Programme,99,99,NA,NA,NA,5,7
World Economic Forum,World Economic Forum,99,99,NA,Cologny,Schweiz,4,7
Wrigley Company Foundation,Wrigley Company Foundation,99,99,NA,Mc Lean,USA,4,7
WWF,WWF,99,99,NA,Gland,Schweiz,4,4
Xerces Society,Xerces Society,99,99,NA,Washington DC,USA,5,3
Youth Farm,Youth Farm,99,99,NA,Minneapolis,USA,5,4
